State,Year,d2013,d2014,DR,PGP2013,AGP2013,PPC2013,PS2013,PM2013,AM2013,PBC2013,ABC2013,PAR2013,AAR2013,NFL2013,TGA2013,LGA2013,LSG2013,LegR,GovR,StateR
Alabama,2013,1,0,17.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Alaska,2013,1,0,19.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Arizona,2013,1,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Arkansas,2013,1,0,16.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
California,2013,1,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Colorado,2013,1,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Connecticut,2013,1,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Delaware,2013,1,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Florida,2013,1,0,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Georgia,2013,1,0,12.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Hawaii,2013,1,0,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Idaho,2013,1,0,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Illinois,2013,1,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Indiana,2013,1,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Iowa,2013,1,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kansas,2013,1,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Kentucky,2013,1,0,14.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Louisiana,2013,1,0,19.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Maine,2013,1,0,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
Maryland,2013,1,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Massachusetts,2013,1,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Michigan,2013,1,0,12.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Minnesota,2013,1,0,7.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Mississippi,2013,1,0,17.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Missouri,2013,1,0,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
Montana,2013,1,0,16.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
Nebraska,2013,1,0,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Nevada,2013,1,0,14.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
New Hampshire,2013,1,0,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
New Jersey,2013,1,0,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
New Mexico,2013,1,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
New York,2013,1,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
North Carolina,2013,1,0,12.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
North Dakota,2013,1,0,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Ohio,2013,1,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Oklahoma,2013,1,0,16.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Oregon,2013,1,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Pennsylvania,2013,1,0,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Rhode Island,2013,1,0,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
South Carolina,2013,1,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
South Dakota,2013,1,0,9.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Tennessee,2013,1,0,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Texas,2013,1,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Utah,2013,1,0,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Vermont,2013,1,0,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Virginia,2013,1,0,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Washington,2013,1,0,9.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
West Virginia,2013,1,0,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Wisconsin,2013,1,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Wyoming,2013,1,0,17.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Alabama,2014,0,1,16.7,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1
Alaska,2014,0,1,18.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1
