Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,AllStar,AllNBA,AllDef,Center
1,Shareef Abdur-Rahim,PF,29,SAC,72,1961,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,4,2.2,6.2,0.152,0.3,0.4,0.6,1.3,0,0,0,0
2,Alex Acker,SG,23,DET,5,35,-2.4,0.281,0.313,0,3.4,13.7,8.5,17.9,1.6,0,20,27.2,-0.2,0,-0.2,-0.23,-9,-1.4,-10.4,-0.1,0,0,0,0
3,Malik Allen,PF,27,CHI,54,701,11.5,0.504,0.004,0.154,7.2,15.7,11.5,4.9,1,1.8,11.4,19.2,0,1,1,0.068,-3.8,0,-3.8,-0.3,0,0,0,0
4,Ray Allen,SG,30,SEA,78,3022,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,9.8,-0.3,9.5,0.15,6.3,-3,3.3,4,1,0,0,0
5,Tony Allen,PG,24,BOS,51,978,12.9,0.554,0.124,0.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,0.6,1,1.7,0.082,-1.6,0.2,-1.4,0.2,0,0,0,0
6,Rafer Alston,PG,29,HOU,63,2431,12.6,0.475,0.423,0.194,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,0.2,3.1,3.4,0.067,0.1,0.7,0.8,1.7,0,0,0,0
7,Chris Andersen,C,27,NOK,32,570,14.1,0.562,0,1.051,12.4,20.2,16.2,1.7,0.8,5.9,15.4,13.9,0.6,0.7,1.3,0.112,-2.7,1.2,-1.5,0.1,0,0,0,1
8,Alan Anderson,SF,23,CHA,36,564,10.4,0.52,0.32,0.227,4.4,10.3,7.2,9.3,1,0.6,13.9,18.2,0.2,0.3,0.4,0.037,-1.8,-1.6,-3.4,-0.2,0,0,0,0
9,Derek Anderson,SG,31,HOU/MIA,43,1047,10.8,0.496,0.442,0.366,2.4,13.3,8,15.7,1.2,0.5,13.3,18.2,0.5,1.1,1.6,0.074,-1,-0.3,-1.3,0.2,0,0,0,0
10,Shandon Anderson,SF,32,MIA,48,638,6.2,0.47,0.151,0.143,3.5,11.1,7.5,6.9,1.4,0.7,15.2,11.4,-0.1,0.7,0.5,0.039,-3.4,0.4,-3,-0.2,0,0,0,0
11,Martynas Andriuskevicius,C,19,CLE,6,9,15.5,0,0,0,13,39.8,26.3,0,11.9,0,0,5.1,0,0,0,0.155,-6.3,6.1,-0.2,0,0,0,0,1
12,Carmelo Anthony,SF,21,DEN,80,2941,22,0.563,0.097,0.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32,6.8,2.6,9.4,0.153,2.6,-1.4,1.3,2.4,0,1,0,0
13,Rafael Araujo,C,25,TOR,52,601,4.5,0.385,0.007,0.193,8.4,21.5,14.6,3.7,2.1,0.8,21.1,15.3,-1.2,0.4,-0.8,-0.066,-6.1,-0.7,-6.8,-0.7,0,0,0,1
14,Gilbert Arenas,PG,24,WAS,80,3384,23.8,0.581,0.324,0.479,2,7.8,4.8,27,2.5,0.6,12.8,30.5,11,2.6,13.6,0.193,6.6,-1.4,5.2,6.1,1,1,0,0
15,Trevor Ariza,SF,20,NYK/ORL,57,999,11.8,0.468,0.022,0.562,9.6,17.1,13.3,9.8,3,0.9,18,15.8,-0.1,1,0.9,0.043,-1.8,1.3,-0.5,0.4,0,0,0,0
16,Darrell Armstrong,PG,37,DAL,62,622,7.3,0.444,0.375,0.328,3.6,12,7.8,20.6,2.4,0.4,28.4,15.4,-0.7,0.7,0,0.003,-2.5,0.3,-2.3,0,0,0,0,0
17,Carlos Arroyo,PG-SG,26,DET/ORL,77,1194,15.6,0.512,0.053,0.362,3.3,9.8,6.6,31.6,1.7,0.2,15.9,20.7,1.6,1.1,2.7,0.107,-0.6,-1.6,-2.2,-0.1,0,0,0,0
18,Chucky Atkins,PG-SG,31,WAS/MEM,71,1713,12.9,0.526,0.478,0.284,1.6,6.8,4.2,20,1.4,0.1,11.9,20.2,2.1,1.4,3.6,0.1,0.8,-2.1,-1.3,0.3,0,0,0,0
19,Stacey Augmon,SF,37,ORL,36,385,7.6,0.412,0,0.411,5.9,10.9,8.5,9,1.7,1.2,11.3,12,0,0.3,0.3,0.033,-3.2,0.3,-2.9,-0.1,0,0,0,0
20,Vin Baker,C,34,LAC,8,85,11.2,0.589,0,1.2,2.9,22.2,13,7,2.5,3.5,28.2,17.4,0,0.2,0.1,0.072,-5.1,2.5,-2.6,0,0,0,0,1
21,Marcus Banks,PG,24,BOS/MIN,58,1497,13.6,0.543,0.135,0.314,1.9,8.8,5.4,25.3,1.9,0.6,18.3,20.6,0.9,1.4,2.3,0.074,-0.7,-0.8,-1.5,0.2,0,0,0,0
22,Leandro Barbosa,SG,23,PHO,57,1592,15.1,0.589,0.346,0.259,2.2,8.1,5.2,14.4,1.5,0.3,12.3,20.3,2.6,1.2,3.8,0.115,1.4,-1,0.5,1,0,0,0,0
23,Matt Barnes,PF-SF,25,NYK/PHI,56,631,10.7,0.545,0.107,0.336,8.9,13.7,11.3,7,1.6,0.8,15.7,13.8,0.5,0.4,1,0.075,-1.7,-0.8,-2.6,-0.1,0,0,0,0
24,Andre Barrett,PG,23,PHO/TOR,19,282,11.3,0.398,0.135,0.115,3.7,7.1,5.4,29.5,1.9,0,12.1,20.3,-0.1,0,-0.1,-0.019,-2.2,-3.1,-5.3,-0.2,0,0,0,0
25,Earl Barron,C,24,MIA,8,45,-2.8,0.366,0,0.25,5.5,20.1,13.1,0,0,0,22,23.4,-0.2,0,-0.2,-0.167,-13,-5.4,-18.5,-0.2,0,0,0,1
26,Brent Barry,SG,34,SAS,74,1259,14.8,0.581,0.586,0.171,2.8,11.9,7.5,15.5,1.7,1.5,12.3,16,2.1,2.2,4.3,0.162,1.4,1.2,2.6,1.5,0,0,0,0
27,Jon Barry,SG,36,HOU,20,342,8.5,0.553,0.492,0.446,0.3,10.1,5.3,12.5,2.1,0.2,22.1,13.9,0,0.4,0.4,0.055,-2.9,0.3,-2.6,-0.1,0,0,0,0
28,Eddie Basden,SF,22,CHI,19,141,10.3,0.471,0.189,0.27,5.7,17,11.4,8.8,3.3,1.1,17.9,16.1,-0.1,0.3,0.2,0.065,-3.6,2.4,-1.2,0,0,0,0,0
29,Brandon Bass,PF,20,NOK,29,268,9.1,0.434,0,0.271,7.8,22.8,15.1,1.8,0.6,2.2,12.3,15.6,-0.2,0.3,0.1,0.013,-6.2,-1.4,-7.7,-0.4,0,0,0,0
