Player,POS.,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY
Carmelo Anthony,SF,UFA,NYK,NYK,5,124064681.00,24812936.00
Eric Bledsoe,PG,RFA,PHX,PHX,5,70000000.00,14000000.00
Gordon Hayward,SF,RFA,UTH,UTH,4,62965420.00,15741355.00
Marcin Gortat,C,UFA,WAS,WAS,5,60000000.00,12000000.00
Kyle Lowry,PG,UFA,TOR,TOR,4,48000000.00,12000000.00
Chandler Parsons,SF,RFA,HOU,DAL,3,46084500.00,15361500.00
LeBron James,SF,UFA,MIA,CLE,2,42217798.00,21108899.00
Trevor Ariza,SF,UFA,WAS,WAS,4,32000002.00,8000001.00
Avery Bradley,SG,RFA,BOS,BOS,4,32000000.00,8000000.00
Channing Frye,PF,UFA,PHX,ORL,4,32000000.00,8000000.00
Dwyane Wade,SG,UFA,MIA,MIA,2,31125000.00,15562500.00
Boris Diaw,C,UFA,SAS,SAS,4,28000000.00,7000000.00
Isaiah Thomas,PG,RFA,SAC,SAC,4,27000002.00,6750001.00
Dirk Nowitzki,PF,UFA,DAL,DAL,3,25000000.00,8333333.00
Spencer Hawes,PF,UFA,CLE,LAC,4,22652350.00,5663088.00
Pau Gasol,PF,UFA,LAL,CHI,3,22346280.00,7448760.00
Nick Young,SF,UFA,LAL,LAL,4,21326174.00,5331544.00
Luol Deng,SF,UFA,CLE,MIA,2,19866073.00,9933037.00
Jodie Meeks,SG,UFA,LAL,DET,3,18810000.00,6270000.00
Patrick Patterson,PF,RFA,TOR,TOR,3,18150001.00,6050000.00
Lance Stephenson,SF,UFA,IND,CHA,2,18000000.00,9000000.00
C.J. Miles,SG,UFA,CLE,IND,4,17955350.00,4488838.00
Shaun Livingston,PG,UFA,BKN,GSW,3,16631175.00,5543725.00
Devin Harris,PG,UFA,DAL,DAL,4,16562884.00,4140721.00
Marvin Williams,PF,UFA,UTH,CHA,2,14000000.00,7000000.00
Kris Humphries,PF,UFA,BOS,BOS,3,13320000.00,4440000.00
Greivis Vasquez,PG,RFA,TOR,TOR,2,13000000.00,6500000.00
Patrick Mills,PG,UFA,SAS,SAS,3,13000000.00,4333333.00
Vince Carter,SG,UFA,DAL,MEM,3,12000000.00,4000000.00
Thabo Sefolosha,SF,UFA,OKC,ATL,3,12000000.00,4000000.00
Paul Pierce,SF,UFA,BKN,WAS,2,10848725.00,5424363.00
Chris Andersen,PF,UFA,MIA,MIA,2,10375000.00,5187500.00
Anthony Morrow,SG,UFA,NOP,OKC,3,10032000.00,3344000.00
Mike Scott,PF,RFA,ATL,ATL,3,10000000.00,3333333.00
Chris Kaman,C,UFA,LAL,POR,2,9816000.00,4908000.00
Trevor Booker,PF,UFA,WAS,UTH,2,9775000.00,4887500.00
Jordan Hill,C,UFA,LAL,LAL,1,9000000.00,9000000.00
Caron Butler,SF,UFA,OKC,DET,2,9000000.00,4500000.00
Mario Chalmers,PG,UFA,MIA,MIA,2,8300000.00,4150000.00
Shelvin Mack,PG,RFA,ATL,ATL,3,7300000.00,2433333.00
Evan Turner,SF,UFA,IND,BOS,2,6703510.00,3351755.00
Jerryd Bayless,PG,UFA,BOS,MIL,2,6000000.00,3000000.00
DeJaun Blair,C,UFA,DAL,DAL,3,6000000.00,2000000.00
D.J. Augustin,PG,UFA,CHI,DET,2,6000000.00,3000000.00
Mike Miller,SG,UFA,MEM,CLE,2,5586940.00,2793470.00
Jameer Nelson,PG,UFA,ORL,DAL,2,5586940.00,2793470.00
Brian Roberts,PG,UFA,NOP,CHA,2,5586940.00,2793470.00
Kirk Hinrich,SG,UFA,CHI,CHI,2,5586940.00,2793470.00
Udonis Haslem,PF,UFA,MIA,MIA,2,5586940.00,2793470.00
Greg Monroe,C,RFA,DET,DET,1,5479933.00,5479933.00
James Johnson,PF,UFA,MEM,TOR,2,5000000.00,2500000.00
Ramon Sessions,PG,UFA,MIL,SAC,2,4247465.00,2123733.00
Beno Udrih,PG,UFA,MEM,MEM,2,4247465.00,2123733.00
