Season,Lg,Tm,W,L,Finish,,Age,Ht.,Wt.,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Wlag
2016-17,NBA,ATL,43,39,2,,27.9,6-Jun,219,,82,19880,3123,6918,0.451,729,2137,0.341,2394,4781,0.501,1484,2039,0.728,842,2793,3635,1938,672,397,1294,1491,8459,-1.23,97.4,1,104.9,-3.9,105.7,-3.1,48
2015-16,NBA,ATL,48,34,2,,28.2,6-Jun,217,,82,19830,3168,6923,0.458,815,2326,0.35,2353,4597,0.512,1282,1638,0.783,679,2772,3451,2100,747,486,1226,1570,8433,3.49,97.1,1.3,105.1,-1.3,101.4,-5,60
2014-15,NBA,ATL,60,22,1,,27.8,6-Jun,218,,82,19730,3121,6699,0.466,818,2152,0.38,2303,4547,0.506,1349,1735,0.778,715,2611,3326,2111,744,380,1167,1457,8409,4.75,93.9,0,108.9,3.3,103.1,-2.5,38
2013-14,NBA,ATL,38,44,4,,27.6,6-Jun,220,,82,19830,3061,6688,0.458,768,2116,0.363,2293,4572,0.502,1392,1782,0.781,713,2565,3278,2041,680,326,1251,1577,8282,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3,44
2012-13,NBA,ATL,44,38,2,,27.1,6-Jun,215,,82,19855,3084,6644,0.464,706,1901,0.371,2378,4743,0.501,1158,1619,0.715,758,2593,3351,2007,664,369,1219,1473,8032,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5,40
2011-12,NBA,ATL,40,26,2,,27.9,7-Jun,215,,66,16165,2429,5348,0.454,492,1330,0.37,1937,4018,0.482,1025,1385,0.74,652,2066,2718,1481,536,303,921,1178,6375,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,44
2010-11,NBA,ATL,44,38,3,,27.4,7-Jun,219,,82,19730,2971,6429,0.462,502,1427,0.352,2469,5002,0.494,1346,1728,0.779,762,2460,3222,1802,497,341,1118,1554,7790,-1.1,89.3,-2.8,106.1,-1.2,107,-0.3,53
2009-10,NBA,ATL,53,29,2,,26.5,7-Jun,219,,82,19855,3181,6801,0.468,524,1455,0.36,2657,5346,0.497,1452,1914,0.759,969,2451,3420,1789,592,413,980,1632,8338,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,47
2008-09,NBA,ATL,47,35,2,,25.8,6-Jun,219,,82,19705,2956,6451,0.458,597,1633,0.366,2359,4818,0.49,1537,2085,0.737,870,2412,3282,1657,603,376,1048,1610,8046,1.7,89.6,-2.1,109.3,1,107.6,-0.7,37
2007-08,NBA,ATL,37,45,3,,24.2,7-Jun,220,,82,19855,2975,6552,0.454,384,1078,0.356,2591,5474,0.473,1720,2227,0.772,1008,2454,3462,1804,600,448,1223,1673,8054,-2.23,91.1,-1.3,106.9,-0.6,108.9,1.4,30
2006-07,NBA,ATL,30,52,5,,24.1,7-Jun,216,,82,19880,2831,6372,0.444,341,1038,0.329,2490,5334,0.467,1677,2203,0.761,976,2312,3288,1573,609,446,1306,1970,7680,-4.86,90,-1.9,103,-3.5,108.3,1.8,26
2005-06,NBA,ATL,26,56,5,,22.7,7-Jun,221,,82,19880,2946,6496,0.454,424,1154,0.367,2522,5342,0.472,1656,2207,0.75,1069,2232,3301,1625,587,394,1284,2054,7972,-4.69,90.4,-0.1,106.4,0.2,111.6,5.4,13
2004-05,NBA,ATL,13,69,5,,26,7-Jun,220,,82,19855,2942,6672,0.441,304,973,0.312,2638,5699,0.463,1417,1994,0.711,1100,2335,3435,1614,629,344,1319,2009,7605,-9.62,91.4,0.5,100.6,-5.5,111.1,5,
2016-17,NBA,BOS,53,29,1,,25.9,5-Jun,219,,82,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,340,1088,1686,8857,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,48
2015-16,NBA,BOS,48,34,2,,25.2,5-Jun,220,,82,19780,3216,7318,0.439,717,2142,0.335,2499,5176,0.483,1520,1929,0.788,950,2733,3683,1981,752,348,1127,1796,8669,2.84,98.5,2.7,106.8,0.4,103.6,-2.8,40
2014-15,NBA,BOS,40,42,2,,25,6-Jun,221,,82,19880,3193,7211,0.443,660,2021,0.327,2533,5190,0.488,1266,1678,0.754,910,2685,3595,2009,674,294,1133,1738,8312,-0.4,95.8,1.9,104.7,-0.9,104.5,-1.1,25
2013-14,NBA,BOS,25,57,4,,25.4,6-Jun,221,,82,19730,2996,6883,0.435,575,1729,0.333,2421,5154,0.47,1325,1706,0.777,980,2505,3485,1726,584,343,1261,1743,7892,-4.97,93.3,-0.6,102.9,-3.8,107.7,1,41
2012-13,NBA,BOS,41,40,3,,29.1,6-Jun,214,,81,19840,3001,6459,0.465,498,1390,0.358,2503,5069,0.494,1318,1698,0.776,654,2533,3187,1843,667,365,1181,1717,7818,-0.62,91.7,-0.3,103.1,-2.8,103.3,-2.6,39
2011-12,NBA,BOS,39,27,1,,29.3,6-Jun,213,,66,15940,2341,5086,0.46,363,988,0.367,1978,4098,0.483,1017,1308,0.778,509,2051,2560,1557,498,362,979,1315,6062,2.26,90.4,-0.9,101,-3.6,98.2,-6.4,56
2010-11,NBA,BOS,56,26,1,,29.5,6-Jun,223,,82,19780,3023,6219,0.486,408,1119,0.365,2615,5100,0.513,1459,1895,0.77,639,2542,3181,1921,676,344,1195,1678,7913,4.83,90.4,-1.7,106.2,-1.1,100.3,-7,50
2009-10,NBA,BOS,50,32,1,,29.4,6-Jun,219,,82,19780,3039,6294,0.483,499,1433,0.348,2540,4861,0.523,1559,2090,0.746,716,2449,3165,1930,701,402,1219,1816,8136,3.37,91.6,-1.1,107.7,0.1,103.8,-3.8,62
2008-09,NBA,BOS,62,20,1,,27.8,6-Jun,222,,82,19880,3075,6333,0.486,538,1355,0.397,2537,4978,0.51,1587,2075,0.765,869,2586,3455,1862,621,387,1280,1897,8275,7.44,90.4,-1.3,110.5,2.2,102.3,-6,66
2007-08,NBA,BOS,66,16,1,,27.9,6-Jun,220,,82,19755,2986,6286,0.475,596,1564,0.381,2390,4722,0.506,1677,2176,0.771,830,2615,3445,1833,696,379,1246,1864,8245,9.3,90.9,-1.5,110.2,2.7,98.9,-8.6,24
2006-07,NBA,BOS,24,58,5,,23.5,6-Jun,221,,82,19855,2858,6454,0.443,471,1283,0.367,2387,5171,0.462,1670,2178,0.767,918,2391,3309,1630,589,382,1350,1971,7857,-3.7,92,0.1,103.2,-3.3,106.9,0.4,33
