Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
2016-17,NBA,26.6,7-Jun,220,1230,241.6,39,85.4,9.7,27,17.8,23.1,10.1,33.4,43.5,22.6,7.7,4.7,14,19.9,105.6,0.457,0.358,0.772,96.4,0.514,12.7,23.3,0.209,108.8
2015-16,NBA,26.7,7-Jun,221,1230,241.8,38.2,84.6,8.5,24.1,17.7,23.4,10.4,33.3,43.8,22.3,7.8,5,14.4,20.3,102.7,0.452,0.354,0.757,95.8,0.502,13.2,23.8,0.209,106.4
2014-15,NBA,26.7,7-Jun,222,1230,242,37.5,83.6,7.8,22.4,17.1,22.8,10.9,32.4,43.3,22,7.7,4.8,14.4,20.2,100,0.449,0.35,0.75,93.9,0.496,13.3,25.1,0.205,105.6
2013-14,NBA,26.5,7-Jun,223,1230,242,37.7,83,7.7,21.5,17.8,23.6,10.9,31.8,42.7,22,7.7,4.7,14.6,20.7,101,0.454,0.36,0.756,93.9,0.501,13.6,25.5,0.215,106.6
2012-13,NBA,26.7,7-Jun,223,1229,241.9,37.1,82,7.2,20,16.7,22.2,11.2,31,42.1,22.1,7.8,5.1,14.6,19.8,98.1,0.453,0.359,0.753,92,0.496,13.7,26.5,0.204,105.8
2011-12,NBA,26.6,7-Jun,223,990,241.9,36.5,81.4,6.4,18.4,16.9,22.5,11.4,30.8,42.2,21,7.7,5.1,14.6,19.6,96.3,0.448,0.349,0.752,91.3,0.487,13.8,27,0.208,104.6
2010-11,NBA,26.6,7-Jun,223,1230,241.9,37.2,81.2,6.5,18,18.6,24.4,10.9,30.5,41.4,21.5,7.3,4.9,14.3,20.7,99.6,0.459,0.358,0.763,92.1,0.498,13.4,26.4,0.229,107.3
2009-10,NBA,26.6,7-Jun,222,1230,241.7,37.7,81.7,6.4,18.1,18.6,24.5,11,30.8,41.7,21.2,7.2,4.9,14.2,20.9,100.4,0.461,0.355,0.759,92.7,0.501,13.3,26.3,0.228,107.6
2008-09,NBA,26.6,7-Jun,221,1230,241.7,37.1,80.9,6.6,18.1,19.1,24.7,11,30.3,41.3,21,7.3,4.8,14,21,100,0.459,0.367,0.771,91.7,0.5,13.3,26.7,0.236,108.3
2007-08,NBA,26.8,7-Jun,220,1230,241.5,37.3,81.5,6.6,18.1,18.8,24.9,11.2,30.8,42,21.8,7.3,4.7,14.1,21,99.9,0.457,0.362,0.755,92.4,0.497,13.2,26.7,0.231,107.5
2006-07,NBA,26.6,7-Jun,219,1230,242.2,36.5,79.7,6.1,16.9,19.6,26.1,11.1,29.9,41.1,21.3,7.2,4.6,15.1,22.2,98.7,0.458,0.358,0.752,91.9,0.496,14.2,27.1,0.246,106.5
2005-06,NBA,26.5,7-Jun,220,1230,242.1,35.8,79,5.7,16,19.6,26.3,11.2,29.8,41,20.6,7.2,4.7,14.4,22.8,97,0.454,0.358,0.745,90.5,0.49,13.7,27.3,0.248,106.2
2004-05,NBA,26.9,7-Jun,220,1230,241.9,35.9,80.3,5.6,15.8,19.7,26.1,12,29.8,41.9,21.3,7.5,4.9,14.5,22.6,97.2,0.447,0.356,0.756,90.9,0.482,13.6,28.7,0.245,106.1
